Data Vencimento,Convênio,Valor Bruto,Abatimento,Deduções,Acréscimo,Multa,Data Pagamento,Valor Pago,Unnamed: 9
15/09/2020,,99674.0,0,0,0,0,,0.0,detalhes boleto
15/08/2020,,99674.0,0,0,0,0,12/08/2020,99674.0,detalhes
30/07/2020,,1.0229700000000002,0,0,0,0,27/07/2020,1.0229700000000002,detalhes
15/06/2020,,5246.0,2,0,0,167,20/07/2020,5411.0,detalhes
15/05/2020,,1.20658,0,0,0,0,06/05/2020,1.20658,detalhes
15/04/2020,,1.20658,0,0,0,0,07/04/2020,1.20658,detalhes
15/03/2020,,1.20658,0,0,0,0,09/03/2020,1.20658,detalhes
15/02/2020,,1.20658,0,0,0,0,10/02/2020,1.20658,detalhes
30/01/2020,,1.23281,0,0,0,0,14/01/2020,1.23281,detalhes
15/12/2019,,1.15644,0,0,0,0,02/12/2019,1.15644,detalhes
15/11/2019,,1.157,0,0,0,0,11/11/2019,1.157,detalhes
15/10/2019,,1.15644,0,0,0,0,09/10/2019,1.15644,detalhes
15/09/2019,,1.15644,0,0,0,0,11/09/2019,1.15644,detalhes
15/08/2019,,1.15644,0,0,0,0,14/08/2019,1.15644,detalhes
10/07/2019,,1.1815799999999999,0,0,0,0,10/07/2019,1.1815799999999999,detalhes
